otc_id,otc_name,jan_code,otc_unit,otc_celler,otc_maker,otc_elements,備考
59,アスゲンかぜ総合錠,4976084053538,75錠,日邦薬品工業株式会社,アスゲン製薬株式会社,アセトアミノフェン、クロルフェニラミン、マオウ,
60,アスゲンかぜ総合錠,4976084053736,75錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,アセトアミノフェン、クロルフェニラミン、マオウ,R5.5追加
61,アスゲンかぜ総合錠,4976084053729,40錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,アセトアミノフェン、クロルフェニラミン、マオウ,R5.5追加
62,アスゲンかぜ総合錠　,4976084053569,40錠,日邦薬品工業株式会社,アスゲン製薬株式会社,アセトアミノフェン、クロルフェニラミン、マオウ,
63,アスゲン散ＥＸ,4976084101369,16包,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,
64,アスゲン散ＥＸ,4976084101376,30包,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,
65,アスゲン散ＥＸ,4976084101383,90包,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,
66,アスゲン散ＥＸ,4976084101543,16包 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,R5.5追加
67,アスゲン散ＥＸ,4976084101550,30包 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,R5.5追加
68,アスゲン散ＥＸ,4976084101567,90包 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,R5.5追加
69,アスゲン錠ＥＸ,4976084101277,45錠,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,
70,アスゲン錠ＥＸ,4976084101284,90錠,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,
71,アスゲン錠ＥＸ,4976084101505,45錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,R5.5追加
72,アスゲン錠ＥＸ,4976084101512,90錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、マオウ,R5.5追加
73,アスゲン鼻炎錠Ｓ,4976084151715,45錠,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,
74,アスゲン鼻炎錠Ｓ,4976084151722,100錠,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,
75,アスゲン鼻炎錠Ｓ,,40錠,アオノ薬局,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,JANコードなし
76,アスゲン鼻炎錠Ｓ,,90錠,アオノ薬局,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,JANコードなし
77,アスゲン鼻炎錠Ｓ,,40錠,寺岡薬局,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,JANコードなし
78,アスゲン鼻炎錠Ｓ,4976084151760,45錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,R5.5追加
79,アスゲン鼻炎錠Ｓ,4976084151777,100錠 ,日邦薬品工業株式会社,アスゲン製薬株式会社,クロルフェニラミン、フェニレフリン,R5.5追加
80,アスコラルＬ,4987475116534,8枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸グリコール,
81,アスコラルＬ,4987475116541,24枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸グリコール,
82,アスコラルＬ,4987475116558,48枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸グリコール,
83,アスタシオン点鼻薬クール,4560389400090,30mL,,セントラル製薬株式会社,クロルフェニラミン、ナファゾリン,
84,アストフィリンＳ,4987028106456,45錠,エーザイ株式会社,アルフレッサ ファーマ株式会社,ジフェンヒドラミン、ノスカピン、メチルエフェドリン,R5.4合併に伴い、製造販売業者名変更
85,アスナミンＺ,4987272100392,6ｶﾌﾟｾﾙ,佐藤薬品工業株式会社,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
86,アスナミンＺ,4987272100439,12ｶﾌﾟｾﾙ,佐藤薬品工業株式会社,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
87,アスナミンＺ,4987272101047,12ｶﾌﾟｾﾙ,佐藤薬品工業株式会社,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
88,アスナミンＺ,4987272101115,6ｶﾌﾟｾﾙ,佐藤薬品工業株式会社,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
89,アスナミンＺ,4987272101177,12ｶﾌﾟｾﾙ,株式会社大心中井薬品,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
90,アスナミンＺ,,6ｶﾌﾟｾﾙ,佐藤薬品工業株式会社,佐藤薬品工業株式会社,アスピリン、アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,JANコードなし
91,アスパラ目薬Ｌプラス,4987128169146,15mL,田辺三菱製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
92,アスパラ目薬クールＩＣ　,4987128156818,12mL,田辺三菱製薬株式会社,田辺三菱製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
93,アスパラ目薬クールＩＣプラス,4987128073511,12mL,田辺三菱製薬株式会社,テイカ製薬株式会社,クロルフェニラミン、テトラヒドロゾリン,R4.2追加
94,アズマリン葛根湯シロップ,4987334201456,45mL×2本,ゲンキー株式会社,大生堂薬品工業株式会社,マオウ,
95,アズマリン葛根湯シロップ,4987334201487,45mL×2本,本草製薬株式会社,大生堂薬品工業株式会社,マオウ,
96,アスマリンＫ,4981529083216,6包,岐阜県厚生農業共同組合連合会,大生堂薬品工業株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、ノスカピン、マオウ,
97,アスマリンＫ,4987334221324,15包,本草製薬株式会社,大生堂薬品工業株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、ノスカピン、マオウ,
98,アスマリンＫ,4981529083223,15包,イオン北海道株式会社,大生堂薬品工業株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、マオウ,R4.3追加
99,アスミンＥＸゴールド,4987533011832,30ｶﾌﾟｾﾙ,,薬王製薬株式会社,アセトアミノフェン,
100,アスミンＡ,4987533012327,18包,,薬王製薬株式会社,アセトアミノフェン,
101,アスミンＭ,4987533012419,18包,,薬王製薬株式会社,アセトアミノフェン,
102,アスミンＭ,4987533012426,24包,,薬王製薬株式会社,アセトアミノフェン,
103,アスミンＭゴールド顆粒,4987533012433,18包,,薬王製薬株式会社,アセトアミノフェン,
104,アスミンＣ,4987533012389,18包,,薬王製薬株式会社,アセトアミノフェン,
105,アスミンＢ,4987533012358,18包,,薬王製薬株式会社,アセトアミノフェン,
106,アセサールソフト,4987074300211,30g,,新新薬品工業株式会社,ジフェンヒドラミン,
107,アゼットノーズα,4975979307015,30mL,,株式会社　雪の元本店,ナファゾリン,R5.5追加
108,アゼットノーズＳ,4975979101095,30mL,,株式会社　雪の元本店,ナファゾリン,
109,アセトアミノフェンＥ錠,4987037862633,30錠,奥田製薬株式会社,奥田製薬株式会社,アセトアミノフェン,R5.5追加
110,アセトアミノフェンＡＦ錠,4987402005511,40錠,大昭製薬株式会社,大昭製薬株式会社,アセトアミノフェン,
111,アセトアミノフェンＡＦ錠,4987403329012,40錠,日野薬品工業株式会社,大昭製薬株式会社,アセトアミノフェン,R4.12追加
112,アセトアミノフェンＫ錠,4975979383507,60錠,,小林薬品工業株式会社,アセトアミノフェン,
113,アセトアミノフェンＫ錠,4987336769121,36錠,,小林薬品工業株式会社,アセトアミノフェン,
114,アセトアミノフェンＣ錠,4987037862510,30錠,奥田製薬株式会社,大昭製薬株式会社,アセトアミノフェン,
115,アセトアミノフェンＧ錠,4595121600094,40錠,中央製薬株式会社,中央製薬株式会社,アセトアミノフェン,R5.6追加
116,アセトアミノフェン錠「ＬＳ」,4595121600124,60錠,中央製薬株式会社,中央製薬株式会社,アセトアミノフェン,R5.9追加
117,アセトアミノフェン錠ＨＰ,4987336769046,72錠,,小林薬品工業株式会社,アセトアミノフェン,
118,アセトアミノフェン錠ＨＰ,4987336770349,36錠,,小林薬品工業株式会社,アセトアミノフェン,
119,アセトアミノフェン錠「クニヒロ」,4987343084019,20錠,皇漢堂製薬株式会社,皇漢堂製薬株式会社,アセトアミノフェン,
120,アセトアミノフェン錠ＤＳ,4987402005559,40錠,大昭製薬株式会社,大昭製薬株式会社,アセトアミノフェン,R6.12追加
121,アセドリン,4987753011056,12錠,西海製薬株式会社,西海製薬株式会社,アスピリン、アセトアミノフェン,
122,アセモア,4987072001585,40g,小林製薬株式会社,小林製薬株式会社,ジフェンヒドラミン,
123,アセモア,4987072009581,80g,小林製薬株式会社,小林製薬株式会社,ジフェンヒドラミン,
124,アセモアａ,4987072038765,32g,小林製薬株式会社,小林製薬株式会社,ジフェンヒドラミン,
125,アセモオノフェ,4589999016781,30g,ゲンキー株式会社,万協製薬株式会社,ジフェンヒドラミン,R5.5追加
126,アセモスチール,4582451710685,30g,大昭製薬株式会社,大昭製薬株式会社,ジフェンヒドラミン,
127,アセモスチール,4987402687007,30g,大昭製薬株式会社,大昭製薬株式会社,ジフェンヒドラミン,
128,アセモセーフ,4987402069308,30g,大昭製薬株式会社,大昭製薬株式会社,ジフェンヒドラミン,
129,アセモセーフ,4987402069407,50g,大昭製薬株式会社,大昭製薬株式会社,ジフェンヒドラミン,
130,アセモバンキー,4535653000856,30g,,万協製薬株式会社,ジフェンヒドラミン,
131,アセモヒフール,4976084040767,30g,日邦薬品工業株式会社,万協製薬株式会社,ジフェンヒドラミン,
132,アセモフィット,4987547269953,30g,松田医薬品株式会社,新生薬品株式会社,ジフェンヒドラミン,
133,アソシエ錠,4987336760289,110錠,,小林薬品工業株式会社,アセトアミノフェン、クロルフェニラミン、チペピジン、メチルエフェドリン,
134,温丸膏,4940794451489,180枚,大協薬品工業株式会社,大協薬品工業株式会社,サリチル酸グリコール,
135,温丸膏,4940794452240,180枚,株式会社クスリのアオキ,大協薬品工業株式会社,サリチル酸グリコール,R6.7追加
136,温丸膏Ｔ,4954007024001,120枚,明治薬品株式会社,大協薬品工業株式会社,サリチル酸メチル,R4.11追加
137,アデロンゴールド微粒Ａ,4962307106297,44包,,米田薬品工業株式会社,アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,R5.2追加
138,アデロンゴールド微粒Ａ,4954391105423,44包,,米田薬品工業株式会社,アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,R6.3追加
139,アデロンゴールド微粒Ａ,4954391105249,46包,,米田薬品工業株式会社,アセトアミノフェン、クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
140,アトシトール,4987533011825,540錠,,薬王製薬株式会社,マオウ,R5.6追加
141,アトラスミン葛根湯２,4987336770578,45mL×2,,小林薬品工業株式会社,マオウ,R4.3追加
142,アトラスミン葛根湯液,4987336765826,30mL×3,,小林薬品工業株式会社,マオウ,
143,アトラスミン葛根湯液,4987336766021,30mL×6,,小林薬品工業株式会社,マオウ,
144,アトラスミン鼻炎錠,4987336769893,48錠,,小林薬品工業株式会社,エフェドリン、クロルフェニラミン、フェニレフリン,
145,アトラスミン麻黄湯液,4987336769329,30mL×3,,小林薬品工業株式会社,マオウ,
146,アドレニンエース錠,4961248006178,60錠,,三宝製薬株式会社,メチルエフェドリン,
147,穴あきサロンパスＡｅ,4987188121054,80枚入,久光製薬株式会社,久光製薬株式会社,サリチル酸メチル,
148,アナロンせき止めシロップ　,4987336766779,120mL,,小林薬品工業株式会社,クロルフェニラミン、ジヒドロコデイン、メチルエフェドリン,
149,アネトン　アルメディ鼻炎錠,4987123701587,45錠,アリナミン製薬株式会社,JNTLコンシューマーヘルス株式会社,クロルフェニラミン,R4.11製造販売業者名変更
150,アネトン　アルメディ鼻炎錠,4987123701594,90錠,アリナミン製薬株式会社,JNTLコンシューマーヘルス株式会社,クロルフェニラミン,R4.11製造販売業者名変更
151,アネトンせき止め液,4987910710037,100mL,アリナミン製薬株式会社,JNTLコンシューマーヘルス株式会社,コデイン,R4.11製造販売業者名変更
152,アネトンせき止め液　分包,4987910710051,3包,,株式会社パナケイア製薬,クロルフェニラミン、コデイン、メチルエフェドリン,
153,アネトンせき止め顆粒,4987910710068,16包,アリナミン製薬株式会社,JNTLコンシューマーヘルス株式会社,コデイン,R4.11製造販売業者名変更
154,アネトンせき止め錠,4987910710044,48錠,アリナミン製薬株式会社,JNTLコンシューマーヘルス株式会社,コデイン,R4.11製造販売業者名変更
155,アネミンローション,4987926026252,60mL,健創製薬株式会社,健創製薬株式会社,ジフェンヒドラミン,
156,アネミンローション,4987926026306,200mL,健創製薬株式会社,健創製薬株式会社,ジフェンヒドラミン,
157,アプレイン　クール,4580102230728,80mL,グロー薬品工業株式会社,東光薬品工業株式会社,ジフェンヒドラミン,R5.6追加
158,アベシデリンＥ,4976084055211,24粒,アスゲン製薬株式会社,高市製薬株式会社,マオウ,
159,アミドサンＳ,4987753020881,6ｶﾌﾟｾﾙ,西海製薬株式会社,至誠堂製薬株式会社,アセトアミノフェン、クロルフェニラミン、チペピジン、メチルエフェドリン,
160,アミドサンゴールド顆粒,4987753010059,6包入,西海製薬株式会社,西海製薬株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、メチルエフェドリン,R4.9JANｺｰﾄﾞ訂正
161,アミドサンゴールド顆粒,4987753010165,6包入,西海製薬株式会社,西海製薬株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、メチルエフェドリン,R4.9JANｺｰﾄﾞ訂正
162,アミドサンゴールド顆粒,4987753010172,12包入,西海製薬株式会社,西海製薬株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、メチルエフェドリン,
163,アミドサンゴールド顆粒,,2包入,西海製薬株式会社,西海製薬株式会社,アセトアミノフェン、エテンザミド、クロルフェニラミン、メチルエフェドリン,JANコードなし
164,アルガード鼻炎クールスプレーａ,4987241100200,15mL,ロート製薬株式会社,ロート製薬株式会社,クロルフェニラミン,
165,アルクイック点鼻薬クール,4987037762063,30mL,,奥田製薬株式会社,クロルフェニラミン、ナファゾリン,
166,アルシン４０,4974042202660,15mL,,滋賀県製薬株式会社,クロルフェニラミン,
167,アルドミン錠Ａ,4962721102318,36錠,ゼネル薬品工業株式会社,ゼネル薬工粉河株式会社,アセトアミノフェン、エテンザミド,
168,アルドミン錠Ａ,4962721102325,84錠,ゼネル薬品工業株式会社,ゼネル薬工粉河株式会社,アセトアミノフェン、エテンザミド,
169,アルドミン錠Ａ,4962721102332,168錠,ゼネル薬品工業株式会社,ゼネル薬工粉河株式会社,アセトアミノフェン、エテンザミド,
170,アルドミン錠Ａ,4962721991103,12錠,ゼネル薬品工業株式会社,ゼネル薬工粉河株式会社,アセトアミノフェン、エテンザミド,R6.9追加
171,アルドミン錠Ａ,4962721991110,48錠,ゼネル薬品工業株式会社,ゼネル薬工粉河株式会社,アセトアミノフェン、エテンザミド,R6.9追加
172,アレギトール,4976084040422,60錠,日邦薬品工業株式会社,日東薬品工業株式会社,クロルフェニラミン,
173,アレルギールクリーム,4987081018383,20g,第一三共ヘルスケア株式会社,第一三共ヘルスケア株式会社,クロルフェニラミン、サリチル酸メチル,
174,アレルギールジェル,4987081018406,20g,第一三共ヘルスケア株式会社,東興薬品工業株式会社,クロルフェニラミン、サリチル酸グリコール,
175,アレルギール錠,4987081018413,55錠,第一三共ヘルスケア株式会社,第一三共ヘルスケア株式会社,クロルフェニラミン,
176,アレルギール錠,4987081018420,110錠,第一三共ヘルスケア株式会社,第一三共ヘルスケア株式会社,クロルフェニラミン,
177,アロビタール錠,4909720524369,12錠,,美吉野製薬株式会社,アセトアミノフェン、エテンザミド,R4.3追加
178,アロピラリンＳ,4987402055608,20錠,大昭製薬株式会社,大昭製薬株式会社,アセトアミノフェン、エテンザミド、ジリュウ,
179,アンバーかぜゴールド,4954391105553,46包,,米田薬品工業株式会社,アセトアミノフェン、クロルフェニラミン、チペピジン、メチルエフェドリン,
180,アンマパスＥ,4987475114165,140枚,株式会社大石膏盛堂,株式会社大石膏盛堂,サリチル酸メチル,
181,アンメルツ　レディーナ,4987072065969,46mL,小林製薬株式会社,小林製薬株式会社,サリチル酸グリコール,
182,アンメルツヨコヨコ,4987072001264,82mL,小林製薬株式会社,小林製薬株式会社,サリチル酸メチル,
183,アンメルツヨコヨコ,4987072006849,48mL,小林製薬株式会社,小林製薬株式会社,サリチル酸メチル,
184,アンメルツヨコヨコ,4987072087381,76mL,小林製薬株式会社,小林製薬株式会社,サリチル酸メチル,R5.4追加
185,アンラビリＳＳ,4987076404825,120錠,,株式会社阪本漢法製薬,マオウ,
186,アンラビリＳＳ,4987076404832,360錠,,株式会社阪本漢法製薬,マオウ,
187,アンラビリゴールド,4987076405259,360錠,,株式会社阪本漢法製薬,マオウ,
188,アンラビリゴールド,4987076505072,264錠,,株式会社阪本漢法製薬,マオウ,
189,アンラビリゴールド,4987076505089,360錠,,株式会社阪本漢法製薬,マオウ,
190,アンラビリゴールド,4987076505096,84錠,,株式会社阪本漢法製薬,マオウ,
191,アンラビリゴールドＺ５Ｔ,4987076405303,450錠,,株式会社阪本漢法製薬,マオウ,
192,アンラビリゴールドＺ５Ｔ,4987076405310,105錠,,株式会社阪本漢法製薬,マオウ,
193,アンラビリゴールドＺ５Ｔ,4987076405358,360錠,,株式会社阪本漢法製薬,マオウ,
194,アンラビリⅡ,4987076404917,135錠,株式会社はぴねすくらぶ,株式会社阪本漢法製薬,マオウ,
195,ＥＧライフ,4987334201951,180錠,株式会社ハーバルアイ,本草製薬株式会社,マオウ,
196,いけだや葛根湯,4957492000307,17g×3包入,株式会社　池田屋安兵衛商店,株式会社　延寿堂,マオウ,R4.3追加
197,いけだや葛根湯,4957492000314,17g×15包入,株式会社　池田屋安兵衛商店,株式会社　延寿堂,マオウ,R4.3追加
198,イスクラ麻杏止咳顆粒Ｓ,4987249143223,45包,イスクラ産業株式会社,イスクラ産業株式会社,マオウ,
199,一元乃錠剤　麻黄湯,4987346571028,100錠,一元製薬株式会社,一元製薬株式会社,マオウ,
200,一元乃錠剤　麻黄湯,4987346572087,350錠,一元製薬株式会社,一元製薬株式会社,マオウ,
201,一元乃錠剤　麻黄湯,4987346574234,1000錠,一元製薬株式会社,一元製薬株式会社,マオウ,
202,一元乃錠剤　麻黄湯,4987346575293,2000錠,一元製薬株式会社,一元製薬株式会社,マオウ,
203,一風飮せきどめ液「コタロー」,4987301267003,96mL,小太郎漢方製薬株式会社,萬金薬品工業株式会社,ナンテンジツ、メチルエフェドリン,
204,一風散カプセル,4949737182107,6ｶﾌﾟｾﾙ,天真堂製薬株式会社,天真堂製薬株式会社,エテンザミド、クロルフェニラミン、ジリュウ、デキストロメトルファン、ノスカピン、メチルエフェドリン,R4.3追加
205,一風散「顆粒」小児用,4949737263127,6包,天真堂製薬株式会社,天真堂製薬株式会社,エテンザミド、クロルフェニラミン、ジリュウ、ノスカピン、メチルエフェドリン,R4.3追加
206,イトーの葛根湯エキス顆粒,4987645194232,1.5g×21包,井藤漢方製薬株式会社,井藤漢方製薬株式会社,マオウ,R4.2追加
207,イトーの葛根湯エキス錠,4987645100042,63錠,井藤漢方製薬株式会社,井藤漢方製薬株式会社,マオウ,R4.6追加
208,イトーの葛根湯エキス錠,4987645004357,90錠,井藤漢方製薬株式会社,井藤漢方製薬株式会社,マオウ,R5.8追加
209,意発（エキス顆粒）,4987126006511,90包,,株式会社建林松鶴堂,マオウ,R4.2追加
210,意発（エキス顆粒）,,210包,,株式会社建林松鶴堂,マオウ,R4.2追加　JANコードなし
211,イビカン,4595218828042,8mL,ジェネリック製薬株式会社,株式会社　雪の元本店,クロルフェニラミン、ナファゾリン,R7.2追加
